https://www.sahibinden.com/volkswagen-golf-1.0-tsi-midline-plus
year,km,color,price,location
2017,78500,Sarý,578000,Ýstanbul Beykoz,"https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-golf-7,5-1057710580/detay"
2018,40000,Mavi,530000,Ýstanbul Diðer,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-boyasiz-orjinal-1057647025/detay
2020,19250,Gri,532999,Kocaeli Ýzmit,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-orjinal-1057095113/detay
2017,143950,Kýrmýzý,531500,Adana Seyhan,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2017-volkswagen-golf-1.0-tsi-midline-plus-1057115448/detay
2018,75000,Beyaz,565000,Ýstanbul Zeytinburnu,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-kazasiz-degisensiz-tramersiz-ekstrali-golf-7.5-otomatik-1057062951/detay
2020,6250,Füme,630000,Ýstanbul Þiþli,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-6250-km-de-hatasiz-golf-926148271/detay
2017,97000,Gri,454900,Ýstanbul Bakýrköy,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-valenciauto-tungsten-gri-18-jant-dokunmatik-ekran-led-97oookm-1034653220/detay
2018,49000,Beyaz,499000,Þanlýurfa Siverek,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibi-ogretmenden-kazasiz-degisensiz-golf-7.5-1018204846/detay
2020,1300,Gümüþ Gri,590000,Ankara Çankaya,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2020-aralik-cikisli-hic-kullanilmamis-golf-1035419896/detay
2019,52000,Beyaz,550000,Ýzmir Gaziemir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-tugra-otomotiv-den-vw-golf-1.0-benzinli-1038219149/detay
2017,44500,Gri,535000,Sivas Þarkýþla,"https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-boyasiz-degisensiz-tertemiz-tungsten-gri-golf-7,5-1044201566/detay"
2020,52400,Gri,525000,Malatya Yeþilyurt,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-vw-golf-1.0-midline-plus-2020-model-52.km-1049712509/detay
2018,68000,Beyaz,505000,Ankara Çankaya,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-yeni-sahibine-hayirli-olsun-1053383202/detay
2017,94000,Siyah,478000,Aydýn Nazilli,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-golf-2017-hatasiz-boyasiz-krem-doseme-1032251490/detay
2017,79000,Gri,545000,Amasya Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-elit-otomotiv-den-vw-golf-1.0-tsi-midline-plus-extrali-manuel-1056458114/detay
2019,64000,Gri,563000,Ýstanbul Bayrampaþa,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-acil-avukattan-2019-golf-1.0-tsi-140-hp-250-nm-18-jant-led-far-1047166867/detay
2019,49000,Gri,505000,Ýstanbul Maltepe,"https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-vw-golf-7,5-2019-sonu-pazarliksiz-son-fiyat-firsat-araci-1044028998/detay"
2017,63850,Gri,569900,Ankara Çankaya,"https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2017-golf-7,5-otomatik-bakimli-63.000-km-1042478900/detay"
2017,80000,Beyaz,491000,Çanakkale Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-memurdan-cok-temiz-golf-7.5-1055891277/detay
2020,25250,Kýrmýzý,535000,Manisa Soma,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-galeri-45-den-2020-vw-golf-1.0-tsi-115-hp-25250-km-de-1056314217/detay
2017,65500,Siyah,485000,Bursa Osmangazi,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-tertemiz-golf-7.5-1056268446/detay
2020,23000,Gri,565000,Ýstanbul Baðcýlar,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-23...binde-golf-1.0-tsi-115-bg-boyasiz-hatasiz-sifir-dan-farksiz-1056221054/detay
2019,10218,Beyaz,550000,Ankara Gölbaþý,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-golf-1048686685/detay
2017,93067,Beyaz,518000,Kocaeli Ýzmit,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-3ay-erteleme-20-pesinat-ile-senetli-satis-1.25-kredi-48ay-1049119817/detay
2017,33000,Beyaz,495000,Bursa Osmangazi,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2017-model-volkswagen-golf-1.0-tsi-midline-plus-29.000-km-hatasz-1037866729/detay
2019,26500,Beyaz,549000,Ýstanbul Bayrampaþa,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-dusuk-km-2020-cikisli-golf-1055363161/detay
2017,79000,Mavi,657000,Ýstanbul Beþiktaþ,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ars-motors-2017-vw-golf-1.0-tsi-midline-plus-79.000km-1041099178/detay
2020,105000,Gri,480000,Ankara Akyurt,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-uzman-otodan-2020-vw-golf-1.0-tsi-manuel-sifir-ayarinda-1055321853/detay
2017,75000,Mavi,515000,Ýstanbul Eyüpsultan,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-7.5-2017-golf-boyasiz-1042364913/detay
2019,4700,Beyaz,580000,Ýstanbul Tuzla,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-cok-az-kullanilmis-golf-2019-son-ay-uretim-2020-cikisli-1042895922/detay
2017,60139,Kahverengi,465000,Ýzmir Bornova,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-vosmer-bornova-2017-vw-golf-1.0tsi-110hp-midline-plus-man-1055464248/detay
2017,88000,Kýrmýzý,515750,Ýstanbul Maltepe,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-taksitle-30-pesinat-ile-12-18-24-36-48-ay-vadeli-arac-1041707823/detay
2017,74500,Beyaz,430000,Ýstanbul Üsküdar,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-golf-7.5-75600-km-de-1044722124/detay
2019,56000,Beyaz,538500,Gümüþhane Þiran,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-ilk-sahibinden-1054964626/detay
2019,65000,Beyaz,520000,Manisa Þehzadeler,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-yetkili-saticidan-2019-golf-1.0-tsi-bmt-midline-plus-1055236013/detay
2019,44000,Füme,535000,Ýstanbul Kartal,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-memurdan-kazasiz-tertemiz-garaj-arabasi-1054751584/detay
2020,47500,Füme,535000,Ýstanbul Eyüpsultan,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-kazasiz-boyasiz-ekstra-garantili-son-fiyat-1025785025/detay
2017,162756,Siyah,419500,Ýstanbul Pendik,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-degisensiz-boyasiz-2017-w.golf-1.0-tsi-m.plus-ic-bej-doseme-1054497425/detay
2017,63000,Beyaz,520000,Eskiþehir Tepebaþý,"https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-coook-uygun-tertemiz-satilik-golf-7,5-eskisehir-1042794024/detay"
2017,70000,Füme,573750,Ýstanbul Sarýyer,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-dsg-otomatik-2017-vw-golf-1.0-tsi-1054799810/detay
2017,58000,Beyaz,520000,Ankara Etimesgut,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-son-fiyat-hatasiz-boyasiz-tramersiz-golf-7.5-1054318308/detay
2017,34000,Siyah,535500,Bartýn Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-elf-auto-dan-sifir-kokusu-icinde-dusuk-km-volkswagen-golf-978439035/detay
2020,37000,Füme,527000,Antalya Kepez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2020-golf-7.5-33.000-km-boyasiz-garantili-1033976107/detay
2018,20000,Beyaz,559000,Manisa Yunusemre,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2019-trafige-nisan-trafige-cikisli-golf-7.5-1054581757/detay
2020,15600,Beyaz,575000,Ankara Çankaya,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-2020-volkswagen-golf-1.0-tsi-midline-plus-1053812552/detay
2017,92000,Kýrmýzý,485000,Ýstanbul Ümraniye,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-2017-kirmizi-golf-7.5-1028402729/detay
2017,86500,Füme,565000,Isparta Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-yetkili-servis-bakimli-asiri-temiz-otomatik-1036182774/detay
2017,90000,Gri,496900,Adana Seyhan,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-carpikci-dan-2017-vw-golf-1.0-tsi-midline-plus-otomatik-110-bg-1053762107/detay
2017,61000,Gri,559000,Ýstanbul Sarýyer,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ogretmenden-garaj-arabasi-1053655835/detay
2019,23250,Beyaz,542500,Ýstanbul Ümraniye,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-boyasiz-tramersiz-ekstrali-fiyati-indirdim-1053651772/detay
2020,42000,Gri,470000,Siirt Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-golf-7.5-1018059642/detay
2018,89000,Beyaz,530000,Ankara Çankaya,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2018-golf-1.0-tsi-midline-plus-dsg-89.000-km-de-986128726/detay
2018,42000,Beyaz,587900,Uþak Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-316.000-pesinle-2018-golf-dsg-senetle-taksit-yapilir-42.000-km-1046616656/detay
2017,76000,Gri,485000,Ýstanbul Pendik,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-temiz-golf-7.5-1053328823/detay
2017,92000,Beyaz,470500,Van Edremit,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-acil-satilik-memurdan-satililk-temiz-golf-1052783499/detay
2018,44000,Beyaz,550000,Mersin Tarsus,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2019-trafige-cikisli-44.000-kmde-temiz-orijinal-golf-1040175431/detay
2018,69000,Beyaz,600000,Ýzmir Gaziemir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-raif-otomotiv-den-boyasiz-servis-bakimli-j-led-far-golf-1.0-tsi-1040519729/detay
2017,86000,Gümüþ Gri,509000,Van Tuþba,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-boyasiz-degisensiz-tramersiz-ogretmenden-golf-7.5-1052062276/detay
2018,94000,Beyaz,530000,Ankara Çankaya,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-90.000-km-de-2018-golf-1.0-tsi-midline-plus-115bg-otomatik-vites-976286247/detay
2020,20000,Beyaz,520000,Ýstanbul Güngören,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-satilik-golf-7.5-1034449744/detay
2018,54549,Lacivert,600000,Ýzmir Gaziemir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ermat-tan-2018-volkswagen-golf-1.0-tsi-midline-plus-dsg-115-bg-1052499259/detay
2017,59000,Beyaz,538000,Adýyaman Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sifir-ayarinda-golf-7.5-extrali-961297026/detay
